Name,Country,CountryCode,Sport,Sport-code,Date of Birth,Gender,Age,Age
KHAFAJI Hussein,Iraq,IRQ,Athletics,ATH,03/07/97,Male,24,23
KHALAF Mohammed Khamis,United Arab Emirates,UAE,Powerlifting,PWL,23/02/69,Male,53,52
KHALILI Nader,Finland,FIN,Swimming,SWM,19/12/01,Male,20,19
KHALILOV Imamaddin,Azerbaijan,AZE,Taekwondo,TKW,23/02/98,Male,24,23
KHALILOV Sharif,Uzbekistan,UZB,Judo,JUD,28/10/89,Male,32,31
KHALIMATUS Sadiyah,Indonesia,INA,Badminton,BDM,17/09/99,Female,22,21
KHAMAYEV Rakhmetzhan,Kazakhstan,KAZ,Powerlifting,PWL,25/11/86,Male,35,34
KHAMDAMOVA Mokhigul,Uzbekistan,UZB,Athletics,ATH,02/10/95,Female,26,25
KHANTHASIT Sakhorn,Thailand,THA,Wheelchair Tennis,WTE,10/12/71,Female,50,49
KHATTAB Abdelkareem Mohmmad Ahmad,Jordan,JOR,Powerlifting,PWL,04/08/91,Male,30,29
KHATUN Sakina,India,IND,Powerlifting,PWL,20/06/89,Female,32,31
KHEDIR Naoual,Algeria,ALG,Wheelchair Basketball,WBK,13/06/87,Female,34,33
KHEIROLLAHZADEH Mohammadreza,Islamic Republic of Iran,IRI,Judo,JUD,20/01/93,Male,29,28
KHELAIFIA Salah,Algeria,ALG,Athletics,ATH,06/08/99,Male,22,21
KHEMGANI Djamila,Algeria,ALG,Wheelchair Basketball,WBK,12/01/82,Female,40,39
KHETSURIANI Irma,Georgia,GEO,Wheelchair Fencing,WFE,18/09/85,Female,36,35
KHINCHAGOV Albert,RPC,RPC,Athletics,ATH,18/10/96,Male,25,24
KHINCHAGOV Khetag,RPC,RPC,Athletics,ATH,13/07/97,Male,24,23
KHLONGRUA Suthi,Thailand,THA,Wheelchair Tennis,WTE,21/09/78,Male,43,42
KHOLBEKOVA Yokutkhon,Uzbekistan,UZB,Athletics,ATH,06/04/95,Female,27,26
KHONGRAK Putharet,Thailand,THA,Athletics,ATH,09/10/94,Male,27,26
KHORAVA Davyd,Ukraine,UKR,Judo,JUD,29/06/88,Male,33,32
KHOSRAVANI Amir,Islamic Republic of Iran,IRI,Athletics,ATH,03/03/94,Male,28,27
KHOTLELE Litsitso,Lesotho,LES,Athletics,ATH,08/03/84,Female,38,37
KHRAPKOVA Iuliia,RPC,RPC,Goalball,GBL,18/06/96,Female,25,24
KHRUPIN Aleksandr,RPC,RPC,Athletics,ATH,13/06/94,Male,27,26
KHUDADADI Zakia,Afghanistan,AFG,Taekwondo,TKW,29/09/98,Female,23,22
KHURELBAATAR Enkhtuya,Mongolia,MGL,Taekwondo,TKW,06/09/90,Female,31,30
KHUSAN KYZY Khaiitkhon,Kyrgyzstan,KGZ,Judo,JUD,13/03/94,Female,28,27
KIBIL Jagoda,Poland,POL,Athletics,ATH,15/08/99,Female,22,21
KIEREY Tom,Germany,GER,Canoe Sprint,CSP,04/09/94,Male,27,26
KIKUCHI Satoko,Japan,JPN,Sitting Volleyball,VBS,28/04/80,Female,41,40
KILIAN Ivo,Germany,GER,Canoe Sprint,CSP,22/03/77,Male,45,44
KIM Chang Gi,Republic of Korea,KOR,Table Tennis,TTE,04/04/00,Male,22,21
KIM Gi Tae,Republic of Korea,KOR,Table Tennis,TTE,20/05/98,Male,23,22
KIM Hyeong Hui,Republic of Korea,KOR,Powerlifting,PWL,21/10/73,Female,48,47
KIM Hansoo,Republic of Korea,KOR,Boccia,BOC,31/01/92,Male,30,29
KIM Hyeon Uk,Republic of Korea,KOR,Table Tennis,TTE,25/12/95,Male,26,25
KIM Ho Yong,Republic of Korea,KOR,Wheelchair Basketball,WBK,03/03/72,Male,50,49
KIM Jung Jun,Republic of Korea,KOR,Badminton,BDM,26/08/78,Male,43,42
KIM Jung-Gil,Republic of Korea,KOR,Table Tennis,TTE,28/05/86,Male,35,34
KIM Kun-Hea,Republic of Korea,KOR,Table Tennis,TTE,24/12/72,Female,49,48
KIM Kyung Hoon,Republic of Korea,KOR,Badminton,BDM,05/03/76,Male,46,45
KIM Kyu-Seung,Republic of Korea,KOR,Wheelchair Tennis,WTE,15/12/63,Male,58,57
KIM Myung Je,Republic of Korea,KOR,Wheelchair Tennis,WTE,05/01/87,Male,35,34
KIM Min Su,Republic of Korea,KOR,Archery,ARC,27/04/99,Male,22,21
KIM Ok Geum,Republic of Korea,KOR,Archery,ARC,09/03/60,Female,62,61
KIM Ran Sook,Republic of Korea,KOR,Archery,ARC,30/06/67,Female,54,53
KIM Sangyeol,Republic of Korea,KOR,Wheelchair Basketball,WBK,15/04/83,Male,38,37
KIM Sejeong,Republic of Korea,KOR,Rowing,ROW,28/02/76,Female,46,45
KIM Seongok,Republic of Korea,KOR,Table Tennis,TTE,27/03/67,Female,55,54
KIM Su Wan,Republic of Korea,KOR,Shooting,SHO,18/02/82,Male,40,39
KIM Taeok,Republic of Korea,KOR,Wheelchair Basketball,WBK,25/08/87,Male,34,33
KIM Young-Gun,Republic of Korea,KOR,Table Tennis,TTE,24/11/84,Male,37,36
KIM Younmi,Republic of Korea,KOR,Shooting,SHO,07/09/78,Female,43,42
KIMURA Jumpei,Japan,JPN,Triathlon,TRI,14/02/85,Male,37,36
KIMURA Juri,Japan,JPN,Boccia,BOC,21/09/83,Female,38,37
KIMURA Keiichi,Japan,JPN,Swimming,SWM,11/09/90,Male,31,30
KIMURA Yui,Japan,JPN,Rowing,ROW,06/01/04,Female,18,17
KINA Tsubasa,Japan,JPN,Athletics,ATH,18/05/90,Female,31,30
KINGHORN Samantha,Great Britain,GBR,Athletics,ATH,06/01/96,Female,26,25
KINOSHITA Moemi,Japan,JPN,Swimming,SWM,29/07/98,Female,23,22
KIPROP Rodgers,Kenya,KEN,Athletics,ATH,17/10/92,Male,29,28
KIPRUTO Felix,Kenya,KEN,Athletics,ATH,21/01/92,Male,30,29
KIRYLA Justyna,Poland,POL,Cycling Road,CRD,11/10/95,Female,26,25
KIRYLA Justyna,Poland,POL,Cycling Track,CTR,11/10/95,Female,26,25
KISS Erik,Hungary,HUN,Canoe Sprint,CSP,28/06/01,Male,20,19
KISS Peter,Hungary,HUN,Canoe Sprint,CSP,06/05/03,Male,18,17
KISSER Danielle,Canada,CAN,Swimming,SWM,22/12/96,Female,25,24
KISY Ales,Czech Republic,CZE,Athletics,ATH,30/09/80,Male,41,40
KITADA Chihiro,Japan,JPN,Wheelchair Basketball,WBK,12/01/89,Female,33,32
KITAMA Yui,Japan,JPN,Wheelchair Basketball,WBK,06/10/94,Female,27,26
KITAZONO Aramitsu,Japan,JPN,Judo,JUD,17/02/91,Male,31,30
KLA-HAN Ladamanee,Thailand,THA,Boccia,BOC,26/03/00,Female,22,21
KLAASSEN Larissa,Netherlands,NED,Cycling Track,CTR,07/05/94,Female,27,26
KLEIN Achiya,Israel,ISR,Rowing,ROW,17/09/91,Male,30,29
KLEMP Marcus,Germany,GER,Rowing,ROW,14/06/82,Male,39,38
KLIACHKINA Elena,RPC,RPC,Swimming,SWM,08/06/05,Female,16,15
KLIPPERT Sergii,Ukraine,UKR,Swimming,SWM,31/03/89,Male,33,32
KLOKPAH Kwadzo,Italy,ITA,Canoe Sprint,CSP,26/03/89,Male,33,32
KNAF Welder,Brazil,BRA,Table Tennis,TTE,06/04/81,Male,41,40
KNIPPELMEYER Lena,Germany,GER,Wheelchair Basketball,WBK,06/04/90,Female,32,31
KNOBLAUCH Valeska,Germany,GER,Badminton,BDM,21/09/90,Female,31,30
KNOTT Keegan,United States of America,USA,Swimming,SWM,11/07/05,Female,16,15
KNOWLES Tristan,Australia,AUS,Wheelchair Basketball,WBK,25/04/83,Male,38,37
KOBESOV Chermen,RPC,RPC,Athletics,ATH,04/01/96,Male,26,25
KOBLASA Ivo,Czech Republic,CZE,Cycling Road,CRD,10/07/93,Male,28,27
KOBLASA Ivo,Czech Republic,CZE,Cycling Track,CTR,10/07/93,Male,28,27
KOBZAR Nataliia,Ukraine,UKR,Athletics,ATH,19/01/00,Female,22,21
KODITHUWAKKU Dulan,Sri Lanka,SRI,Athletics,ATH,10/07/90,Male,31,30
KOECH Nancy Chelangat,Kenya,KEN,Athletics,ATH,16/04/95,Female,26,25
KOHLI Palak,India,IND,Badminton,BDM,12/08/02,Female,19,18
KOIKE Sakura,Japan,JPN,Swimming,SWM,03/04/01,Female,21,20
KOISHIBAYEVA Raushan,Kazakhstan,KAZ,Powerlifting,PWL,07/03/66,Female,56,55
KOIUDA Iaroslav,Ukraine,UKR,Rowing,ROW,26/12/87,Male,34,33
KOKOITY Alan,RPC,RPC,Athletics,ATH,02/07/88,Male,33,32
KOKUBO Kanta,Japan,JPN,Athletics,ATH,01/06/99,Male,22,21
KOL Anton,Ukraine,UKR,Swimming,SWM,31/05/90,Male,31,30
KOLEOSHO Ahmed,Nigeria,NGR,Table Tennis,TTE,20/07/86,Male,35,34
KOLMAKOV Mikhail,RPC,RPC,Triathlon,TRI,20/11/79,Male,42,41
KOLOSOV Vladislav,RPC,RPC,Equestrian,EQU,21/02/60,Male,62,61
KOLPAKCHY Alisa,Ukraine,UKR,Triathlon,TRI,15/12/96,Female,25,24
KOMAR Davor,Croatia,CRO,Boccia,BOC,12/10/70,Male,51,50
KOMAROV Oleksandr,Ukraine,UKR,Swimming,SWM,10/06/88,Male,33,32
KOMATSU Saki,Japan,JPN,Canoe Sprint,CSP,01/10/94,Female,27,26
KONEFERENISI Barney,New Zealand,NZL,Wheelchair Rugby,WRU,09/03/94,Male,28,27
KONG Bopha,France,FRA,Taekwondo,TKW,25/04/81,Male,40,39
KONJEN Saichon,Thailand,THA,Athletics,ATH,30/03/83,Male,39,38
KONKOLY Zsofia,Hungary,HUN,Swimming,SWM,12/03/02,Female,20,19
KONSTANTINIDIS Athanasios,Greece,GRE,Athletics,ATH,29/04/70,Male,51,50
KOO Dong Sub,Republic of Korea,KOR,Archery,ARC,05/07/81,Male,40,39
KOPIIKA Maryna,Ukraine,UKR,Powerlifting,PWL,12/01/91,Female,31,30
KORANY Fatma,Egypt,EGY,Powerlifting,PWL,01/07/00,Female,21,20
KORKMAZ Bulent,Turkey,TUR,Archery,ARC,03/05/75,Male,46,45
KORKMAZ Mihriban,Turkey,TUR,Athletics,ATH,10/03/96,Female,26,25
KORKUT Kubra,Turkey,TUR,Table Tennis,TTE,20/06/94,Female,27,26
KORNELIUSSEN Nora,Norway,NOR,Table Tennis,TTE,28/04/99,Female,22,21
KORNHASS Nikolai,Germany,GER,Judo,JUD,28/03/93,Male,29,28
KORNOBYS Lucyna,Poland,POL,Athletics,ATH,17/02/78,Female,44,43
KOROBEYNIKOV Igor,RPC,RPC,Canoe Sprint,CSP,27/07/78,Male,43,42
KORVER Cher,Netherlands,NED,Wheelchair Basketball,WBK,11/08/76,Female,45,44
KOSE Tomohiro,Japan,JPN,Powerlifting,PWL,23/03/93,Male,29,28
KOSEK Jakub,Czech Republic,CZE,Shooting,SHO,07/01/85,Male,37,36
KOSEWICZ Piotr,Poland,POL,Athletics,ATH,31/05/74,Male,47,46
KOSMINA Natalya,Ukraine,UKR,Table Tennis,TTE,08/11/82,Female,39,38
KOSSAKOWSKI Aleksander,Poland,POL,Athletics,ATH,15/03/94,Male,28,27
KOSTAKIS Ioannis,Greece,GRE,Swimming,SWM,16/12/71,Male,50,49
KOSTAL Vaclav,Czech Republic,CZE,Archery,ARC,02/06/70,Male,51,50
KOSTIN Aleksandr,RPC,RPC,Athletics,ATH,04/07/95,Male,26,25
KOSUDA Junta,Japan,JPN,Athletics,ATH,05/10/90,Male,31,30
KOTAJA Amanda,Finland,FIN,Athletics,ATH,03/01/95,Female,27,26
KOTKOWSKI Michal,Poland,POL,Athletics,ATH,08/12/98,Male,23,22
KOTLOWSKA Faustyna,Poland,POL,Athletics,ATH,24/03/01,Female,21,20
KOTUKOV Nikita,RPC,RPC,Athletics,ATH,05/05/99,Male,22,21
KOTYK Dariia,Ukraine,UKR,Rowing,ROW,13/06/04,Female,17,16
KOUAKOU Charles-Antoine,France,FRA,Athletics,ATH,14/07/98,Male,23,22
KOULOUMOGLOU Paschalis,Greece,GRE,Powerlifting,PWL,03/11/94,Male,27,26
KOVAL Maksym,Ukraine,UKR,Athletics,ATH,26/12/96,Male,25,24
KOVALCHUK Vasyl,Ukraine,UKR,Shooting,SHO,18/04/73,Male,48,47
KOZAI Hiroaki,Japan,JPN,Wheelchair Basketball,WBK,14/07/88,Male,33,32
KOZAKOWSKA Roza,Poland,POL,Athletics,ATH,26/08/89,Female,32,31
KOZDRYK Justyna,Poland,POL,Powerlifting,PWL,04/03/80,Female,42,41
KOZHEMYAKIN Andrey,RPC,RPC,Shooting,SHO,03/08/75,Male,46,45
KOZIKOWSKA Katarzyna,Poland,POL,Canoe Sprint,CSP,16/07/94,Female,27,26
KOZMIN Dmitry,RPC,RPC,Boccia,BOC,28/02/99,Male,23,22
KOZUN Julie,Canada,CAN,Sitting Volleyball,VBS,23/12/99,Female,22,21
KRAI Abdelkrim,Algeria,ALG,Athletics,ATH,27/02/97,Male,25,24
KRAINYK Vasyl,Ukraine,UKR,Swimming,SWM,07/06/96,Male,25,24
KRAJNYAK Zsuzsanna,Hungary,HUN,Wheelchair Fencing,WFE,23/12/78,Female,43,42
KRAL Tomas,Slovakia,SVK,Boccia,BOC,29/05/89,Male,32,31
KRAMER Bo,Netherlands,NED,Wheelchair Basketball,WBK,15/09/98,Female,23,22
KRATTER Elena,Switzerland,SUI,Athletics,ATH,05/07/96,Female,25,24
KRAVCHENKO Vladyslava,Malta,MLT,Swimming,SWM,18/07/91,Female,30,29
KRAWZOW Elena,Germany,GER,Swimming,SWM,26/10/93,Female,28,27
KRISTENSEN Katrine,Denmark,DEN,Equestrian,EQU,23/01/96,Female,26,25
KRIVSHINA Anna,RPC,RPC,Swimming,SWM,15/05/96,Female,25,24
KRUGER Jesper Ring,Denmark,DEN,Wheelchair Rugby,WRU,15/07/89,Male,32,31
KRUGER Katharina,Germany,GER,Wheelchair Tennis,WTE,03/01/90,Female,32,31
KRUGER Lisa,Netherlands,NED,Swimming,SWM,04/09/00,Female,21,20
KRUGER Simone,South Africa,RSA,Athletics,ATH,14/01/05,Female,17,16
KRUNGGET Pichet,Thailand,THA,Athletics,ATH,16/03/75,Male,47,46
KRUPIN Anatolii,RPC,RPC,Sitting Volleyball,VBS,05/02/84,Male,38,37
KRUSE Kai-Kristian,Germany,GER,Cycling Track,CTR,19/08/91,Male,30,29
KRUTOVA Elena,RPC,RPC,Archery,ARC,19/05/80,Female,41,40
KRYLOV Leonid,RPC,RPC,Canoe Sprint,CSP,02/02/80,Male,42,41
KRYPAK Maksym,Ukraine,UKR,Swimming,SWM,23/05/95,Male,26,25
KTILA Walid,Tunisia,TUN,Athletics,ATH,20/07/85,Male,36,35
KUBAS Kamila,Poland,POL,Canoe Sprint,CSP,13/05/83,Female,38,37
KUBASOV Artur,RPC,RPC,Swimming,SWM,28/08/01,Male,20,19
KUBO Kozo,Japan,JPN,Athletics,ATH,27/05/81,Male,40,39
KUBOTA Kota,Japan,JPN,Swimming,SWM,06/03/00,Male,22,21
KUCHARCZYK Karolina,Poland,POL,Athletics,ATH,24/04/91,Female,30,29
KUCHKOROV Otabek,Uzbekistan,UZB,Rowing,ROW,13/08/97,Male,24,23
KUDLACOVA Kristina,Slovakia,SVK,Boccia,BOC,25/02/01,Female,21,20
KUDO Hiroko,Japan,JPN,Judo,JUD,09/11/84,Female,37,36
KUDO Shunsuke,Japan,JPN,Taekwondo,TKW,31/10/93,Male,28,27
KUKLIN Pavel,RPC,RPC,Swimming,SWM,23/11/01,Male,20,19
KUKUNDAKWE Husnah,Uganda,UGA,Swimming,SWM,25/03/07,Female,15,14
KULIABIN Mikhail,RPC,RPC,Swimming,SWM,25/08/98,Male,23,22
KULIATIN Anton,RPC,RPC,Athletics,ATH,31/08/91,Male,30,29
KULINICH-SOROKINA Anna,RPC,RPC,Athletics,ATH,27/06/92,Female,29,28
KUMAGAI Yutaka,Japan,JPN,Athletics,ATH,14/02/87,Male,35,34
KUMAR Amit,India,IND,Athletics,ATH,12/01/85,Male,37,36
KUMAR Rakesh,India,IND,Archery,ARC,13/01/85,Male,37,36
KUMAR Sharad,India,IND,Athletics,ATH,01/03/92,Male,30,29
KUNIEDA Shingo,Japan,JPN,Wheelchair Tennis,WTE,21/02/84,Male,38,37
KUNSTMAN Elizaveta,RPC,RPC,Sitting Volleyball,VBS,06/08/98,Female,23,22
KUPAN Panyawut,Thailand,THA,Football 5-a-side,FB5,09/05/94,Male,27,26
KURAHASHI Kae,Japan,JPN,Wheelchair Rugby,WRU,15/09/90,Female,31,30
KURANBAEV Uchkun,Uzbekistan,UZB,Judo,JUD,18/07/96,Male,25,24
KURBANOVA Nurkhon,Uzbekistan,UZB,Athletics,ATH,12/08/94,Female,27,26
KUREJA Marian,Slovakia,SVK,Athletics,ATH,30/07/80,Male,41,40
KURIL Patrik,Slovakia,SVK,Cycling Road,CRD,18/12/79,Male,42,41
KURILAK Rastislav,Slovakia,SVK,Boccia,BOC,05/07/77,Male,44,43
KURODA Tomonari,Japan,JPN,Football 5-a-side,FB5,09/10/78,Male,43,42
KURZIN Alexander,RPC,RPC,Wheelchair Fencing,WFE,30/11/71,Male,50,49
KUSKU John,United States of America,USA,Goalball,GBL,06/08/84,Male,37,36
KUTLU Koral Berkin,Turkey,TUR,Swimming,SWM,12/10/05,Male,16,15
KUTUEV Vasilii,RPC,RPC,Judo,JUD,26/08/95,Male,26,25
KUZIEVA Ruza,Uzbekistan,UZB,Powerlifting,PWL,12/03/94,Female,28,27
KUZNETSOV Aleksei,RPC,RPC,Athletics,ATH,03/04/81,Male,41,40
KUZNETSOV Ruslan,RPC,RPC,Cycling Road,CRD,20/10/80,Male,41,40
KUZYUKOV Alexander,RPC,RPC,Wheelchair Fencing,WFE,07/08/87,Male,34,33
KWAK Jun Seong,Republic of Korea,KOR,Wheelchair Basketball,WBK,08/12/89,Male,32,31
KWIZERA Carine,Rwanda,RWA,Sitting Volleyball,VBS,01/01/95,Female,27,26
LABERER Felicia,Germany,GER,Canoe Sprint,CSP,13/05/01,Female,20,19
LACIN Ali,Germany,GER,Athletics,ATH,17/04/88,Male,33,32
LACZKO Dusan,Slovakia,SVK,Athletics,ATH,02/05/83,Male,38,37
LADJADJAT Samir,Algeria,ALG,Wheelchair Basketball,WBK,31/03/81,Male,41,40
LAFAYE Isabelle,France,FRA,Table Tennis,TTE,09/07/63,Female,58,57
LAGO Sebehe Clarisse,Côte d'Ivoire,CIV,Athletics,ATH,21/12/97,Female,24,23
LAHNA Mohamed,Morocco,MAR,Cycling Road,CRD,11/03/82,Male,40,39
LAHOUEL Achraf,Tunisia,TUN,Athletics,ATH,05/02/94,Male,28,27
LAHTEENMAKI Leo,Finland,FIN,Swimming,SWM,23/11/91,Male,30,29
LAHUTENKO Nataliia,Ukraine,UKR,Canoe Sprint,CSP,14/11/85,Female,36,35
LAI Liangyu,People's Republic of China,CHN,Goalball,GBL,09/10/00,Male,21,20
LAI Puisand,Canada,CAN,Wheelchair Basketball,WBK,29/07/00,Female,21,20
LAI Shanzhang,People's Republic of China,CHN,Cycling Track,CTR,07/11/92,Male,29,28
LAKATOS Brent,Canada,CAN,Athletics,ATH,01/06/80,Male,41,40
LAKRA Kashish,India,IND,Athletics,ATH,19/12/03,Female,18,17
LALONDE Rosalie,Canada,CAN,Wheelchair Basketball,WBK,27/03/97,Female,25,24
LAM-WATSON Oliver,Great Britain,GBR,Wheelchair Fencing,WFE,07/11/92,Male,29,28
LAMBERT Lorraine,Great Britain,GBR,Shooting,SHO,29/09/72,Female,49,48
LAMBERT Noelle,United States of America,USA,Athletics,ATH,24/01/97,Female,25,24
LAMBERTINI Emanuele,Italy,ITA,Wheelchair Fencing,WFE,21/02/99,Male,23,22
LAMBIRD Robyn,Australia,AUS,Athletics,ATH,19/01/97,Female,25,24
LAMIRAULT Fabien,France,FRA,Table Tennis,TTE,17/03/80,Male,42,41
LAN Zhijian,People's Republic of China,CHN,Boccia,BOC,12/08/91,Male,30,29
LANDRY Hagan,United States of America,USA,Athletics,ATH,14/07/94,Male,27,26
LANE Joseph,Great Britain,GBR,Taekwondo,TKW,07/09/98,Male,23,22
LANE-WRIGHT Crystal,Great Britain,GBR,Cycling Road,CRD,13/09/85,Female,36,35
LANE-WRIGHT Crystal,Great Britain,GBR,Cycling Track,CTR,13/09/85,Female,36,35
LANG Katharina,Germany,GER,Wheelchair Basketball,WBK,02/01/93,Female,29,28
LANGMANN Nico,Austria,AUT,Wheelchair Tennis,WTE,17/03/97,Male,25,24
LANZA Angelina,France,FRA,Athletics,ATH,06/06/93,Female,28,27
LANZER Grzegorz,Poland,POL,Powerlifting,PWL,27/04/86,Male,35,34
LAOWONG Anurak,Thailand,THA,Table Tennis,TTE,21/01/82,Male,40,39
LAPTHORNE Andy,Great Britain,GBR,Wheelchair Tennis,WTE,11/10/90,Male,31,30
LARBI Abdelhalim,Algeria,ALG,Goalball,GBL,26/05/84,Male,37,36
LARPYEN Pornchok,Thailand,THA,Boccia,BOC,02/04/94,Male,28,27
LARRY Brenda Anellia,Malaysia,MAS,Swimming,SWM,23/08/05,Female,16,15
LASHKARISANAMI Majid,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS,06/08/79,Male,42,41
LATCHOUMANAYA Helios,France,FRA,Judo,JUD,04/06/00,Male,21,20
LATHAM Bill,Australia,AUS,Wheelchair Basketball,WBK,29/10/89,Male,32,31
LATIKKA Antti,Finland,FIN,Swimming,SWM,06/11/90,Male,31,30
LATRITSKAIA Mariia,RPC,RPC,Swimming,SWM,10/10/02,Female,19,18
LAU Wai Yan Vivian,"Hong Kong, China",HKG,Boccia,BOC,05/02/79,Female,43,42
LAURIA Matilde,Italy,ITA,Judo,JUD,05/12/66,Female,55,54
LAVIGNE Christophe,France,FRA,Rowing,ROW,29/06/71,Male,50,49
LAVOIE Fabien,Canada,CAN,Wheelchair Rugby,WRU,02/07/81,Male,40,39
LAVRINOVICH Andrei,RPC,RPC,Sitting Volleyball,VBS,04/12/76,Male,45,44
LAVROV Dmitrii,RPC,RPC,Table Tennis,TTE,07/01/73,Male,49,48
LAWLOR Louis,Great Britain,GBR,Swimming,SWM,25/05/02,Male,19,18
le BARREAU Robin,France,FRA,Rowing,ROW,04/12/92,Male,29,28
le CUNFF Kevin,France,FRA,Cycling Road,CRD,16/03/88,Male,34,33
le CUNFF Kevin,France,FRA,Cycling Track,CTR,16/03/88,Male,34,33
le FUR Marie-Amelie,France,FRA,Athletics,ATH,26/09/88,Female,33,32
le GUEN Corentin,France,FRA,Wheelchair Rugby,WRU,10/02/94,Male,28,27
le van Cong,Vietnam,VIE,Powerlifting,PWL,20/06/84,Male,37,36
LEANI RATRI Oktila,Indonesia,INA,Badminton,BDM,06/05/91,Female,30,29
LEAUTE Alexandre,France,FRA,Cycling Road,CRD,12/10/00,Male,21,20
LEAUTE Alexandre,France,FRA,Cycling Track,CTR,12/10/00,Male,21,20
LEBIEDIEVA Iana,Ukraine,UKR,Athletics,ATH,12/02/84,Female,38,37
LEBOG Judith Mariette,Cameroon,CMR,Athletics,ATH,13/05/90,Female,31,30
LEBRUN Tatyana,Belgium,BEL,Swimming,SWM,09/12/04,Female,17,16
LEDESMA Agustin,Argentina,ARG,Wheelchair Tennis,WTE,08/03/94,Male,28,27
LEE Byoung Jai,Republic of Korea,KOR,Wheelchair Basketball,WBK,13/07/81,Male,40,39
LEE Chi Won,Republic of Korea,KOR,Wheelchair Basketball,WBK,12/03/80,Male,42,41
LEE Doyeon,Republic of Korea,KOR,Cycling Road,CRD,09/01/72,Female,50,49
LEE Dong Seop,Republic of Korea,KOR,Badminton,BDM,04/04/71,Male,51,50
LEE Gyeonghwa,Republic of Korea,KOR,Cycling Road,CRD,24/09/72,Female,49,48
LEE Hyunjung,Republic of Korea,KOR,Powerlifting,PWL,04/05/86,Female,35,34
LEE Inkook,Republic of Korea,KOR,Swimming,SWM,22/12/95,Male,26,25
LEE Jangho,Republic of Korea,KOR,Shooting,SHO,24/01/89,Male,33,32
LEE Jiseok,Republic of Korea,KOR,Shooting,SHO,17/02/74,Male,48,47
LEE Jordan,Ireland,IRL,Athletics,ATH,01/07/00,Male,21,20
LEE Juyoung,Republic of Korea,KOR,Swimming,SWM,15/12/97,Male,24,23
LEE Jung Min,Republic of Korea,KOR,Judo,JUD,13/11/90,Male,31,30
LEE Kunwoo,Republic of Korea,KOR,Table Tennis,TTE,03/09/69,Female,52,51
LEE Kai Lin,Chinese Taipei,TPE,Judo,JUD,15/07/92,Female,29,28
LEE Mi Gyu,Republic of Korea,KOR,Table Tennis,TTE,04/11/88,Female,33,32
LEE Sun Ae,Republic of Korea,KOR,Badminton,BDM,16/03/69,Female,53,52
LEE Sam Seop,Republic of Korea,KOR,Badminton,BDM,19/03/70,Male,52,51
LEE Yongjin,Republic of Korea,KOR,Boccia,BOC,16/05/80,Male,41,40
LEE Yoojeong,Republic of Korea,KOR,Shooting,SHO,19/09/84,Female,37,36
LEE Youngsun,Republic of Korea,KOR,Powerlifting,PWL,16/10/67,Female,54,53
LEE Younjoo,Republic of Korea,KOR,Wheelchair Basketball,WBK,29/11/84,Male,37,36
LEE Yunri,Republic of Korea,KOR,Shooting,SHO,24/10/74,Female,47,46
LEEP Jose,Colombia,COL,Wheelchair Basketball,WBK,15/08/78,Male,43,42
LEES Jason,Australia,AUS,Wheelchair Rugby,WRU,01/03/77,Male,45,44
LEESON Jamieson,Australia,AUS,Boccia,BOC,18/03/03,Female,19,18
LEFEVOUR Kelsey,United States of America,USA,Athletics,ATH,08/07/89,Female,32,31
LEFEVRE Joyce,Belgium,BEL,Athletics,ATH,28/06/88,Female,33,32
LEFONO Tainafi,New Zealand,NZL,Wheelchair Rugby,WRU,28/11/85,Male,36,35
LEGNANTE Assunta,Italy,ITA,Athletics,ATH,14/05/78,Female,43,42
LEGNER Martin,Austria,AUT,Wheelchair Tennis,WTE,17/12/61,Male,60,59
LEGOSTAEV Aleksandr,RPC,RPC,Boccia,BOC,28/11/86,Male,35,34
LEI Li Na,Australia,AUS,Table Tennis,TTE,19/02/88,Female,34,33
LEI Tianjiao,People's Republic of China,CHN,Wheelchair Basketball,WBK,31/10/93,Female,28,27
LEIBOVITZ Tahl,United States of America,USA,Table Tennis,TTE,01/06/75,Male,46,45
LEIRIA de CASTRO Camila,Brazil,BRA,Sitting Volleyball,VBS,08/05/82,Female,39,38
LEIVA AVILA Isaac,Guatemala,GUA,Athletics,ATH,02/06/79,Male,42,41
LEKHARA Avani,India,IND,Shooting,SHO,08/11/01,Female,20,19
LELOU Daniel,France,FRA,Archery,ARC,02/10/62,Male,59,58
LEMON Meg,Australia,AUS,Cycling Road,CRD,05/10/89,Female,32,31
LEMON Meg,Australia,AUS,Cycling Track,CTR,05/10/89,Female,32,31
LEMOS RIVAS Jose Gregorio,Colombia,COL,Athletics,ATH,04/06/91,Male,30,29
LEMOUSSU Gwladys,France,FRA,Triathlon,TRI,12/04/89,Female,32,31
LEMTAKHEM Halima,Morocco,MAR,Powerlifting,PWL,20/02/83,Female,39,38
LEMUS ROJAS Leider Albeiro,Colombia,COL,Swimming,SWM,05/05/87,Male,34,33
LENCINA Dario,Argentina,ARG,Football 5-a-side,FB5,23/08/80,Male,41,40
LENSKII Viacheslav,RPC,RPC,Swimming,SWM,17/08/92,Male,29,28
LEONARD Kerrie-Louise,Ireland,IRL,Archery,ARC,18/12/90,Female,31,30
LEONELLI Tamara,Chile,CHI,Table Tennis,TTE,05/06/97,Female,24,23
LEONHARDT Paige,Australia,AUS,Swimming,SWM,21/09/00,Female,21,20
